"","zip","Entertainment ($000), 2017","% Black Population, 2017","% Asian Population, 2017","Social, recreation, health club membership ($000), 2017","Prescription drugs ($000), 2017","Healthcare ($000), 2017","suicides","city","state","latitude","longitude"
"179","94404",58533.4,1.7226,49.897,4829,3383.6,72493.9,24,"San Mateo","CA",37.554335,-122.27032
"180","90004",58364.7,3.5842,28.8828,3528.2,4605.9,86575.6,59,"Los Angeles","CA",34.07711,-118.30755
"181","92649",58321,0.7734,11.7057,4612.7,4261.8,76124.6,61,"Huntington Beach","CA",33.720017,-118.04614
"182","93727",58132.7,6.6611,22.0841,3450.2,4754.7,86378.7,65,"Fresno","CA",36.753177,-119.69703
"183","93308",58107.8,1.5348,2.3791,3665.4,5075.2,85456.8,99,"Bakersfield","CA",35.487491,-119.00896
"184","95403",57983.3,3.4005,6.3511,3955.4,4722,81506.9,59,"Santa Rosa","CA",38.480494,-122.74976
"185","95404",57971.5,2.5764,5.1334,4165.9,4683,80059.4,70,"Santa Rosa","CA",38.457611,-122.69317
"186","93277",57753.9,2.5105,3.9587,3677.7,4965,84318.1,86,"Visalia","CA",36.311,-119.32637
"187","92078",57739.5,2.3651,10.1052,4070.2,4623.3,80857.9,52,"San Marcos","CA",33.122029,-117.15605
"188","92026",57702.9,2.7238,8.5759,3830.5,4850.3,83361.3,89,"Escondido","CA",33.181543,-117.11136
"189","94582",57468.7,3.238,50.2096,4947.2,2984.1,68109.7,17,"San Ramon","CA",37.76,-121.93
"190","92019",57391.7,3.8183,4.641,4093.3,4552.2,79209.8,64,"El Cajon","CA",32.788736,-116.90487
"191","94551",57148.4,2.3689,13.1198,4478.8,3819.1,72944.7,44,"Livermore","CA",37.680181,-121.921498
"192","90815",57012.3,4.6361,12.8637,4300.2,4192.7,75268.6,51,"Long Beach","CA",33.795049,-118.11824
"193","94577",56964.9,12.8702,28.3716,3690.3,4354.6,81196.5,50,"San Leandro","CA",37.722279,-122.15702
"194","91745",56672.7,1.3638,39.3687,3924.2,4167.5,81267.2,35,"Hacienda Heights","CA",34.000578,-117.96943
"195","92504",56654.5,6.2171,4.4569,3514.9,4903.5,83587.4,79,"Riverside","CA",33.926315,-117.40937
"196","92705",56616.6,1.5705,8.4655,4520.2,4136.7,74218.9,52,"Santa Ana","CA",33.762117,-117.81828
"197","92115",56612.6,11.7571,16.7687,3366.1,4577,82232.4,89,"San Diego","CA",32.7603,-117.07031
"198","91765",56575,4.3185,53.6504,4186.5,3584.8,76200,28,"Diamond Bar","CA",34.004172,-117.81673
"199","94044",56533.9,2.4744,23.8083,4400.6,3897.1,73344,38,"Pacifica","CA",37.613806,-122.48229
"200","95129",56440.8,1.564,60.0522,4559.1,3267.1,72116,36,"San Jose","CA",37.307742,-121.99976
"201","92028",56179.4,1.553,3.1381,3871.1,4801.5,80425.8,83,"Fallbrook","CA",33.380359,-117.20605
"202","90640",56119.3,0.9749,12.4209,3424.9,4901.7,84876.2,44,"Montebello","CA",34.014212,-118.11358
"203","95127",56055,2.4634,24.3688,3820.3,4217,79449.6,43,"San Jose","CA",37.369473,-121.82077
"204","94526",56041.8,0.8954,11.0936,4880.3,3767.6,68960,29,"Danville","CA",37.811676,-121.98647
"205","94040",56035.6,1.9651,31.2675,4545.9,3441.8,70082.4,34,"Mountain View","CA",37.380207,-122.08787
"206","93611",56026.6,2.3751,12.0716,3935.8,4250.2,76849.4,53,"Clovis","CA",36.840057,-119.66107
"207","93436",55987.6,6.7226,4.9725,3552.7,4761,81495.1,70,"Lompoc","CA",34.639682,-120.4471
"208","90703",55981.3,6.4645,62.2383,4029.7,3669,78117.3,40,"Cerritos","CA",33.868314,-118.06754
"209","94070",55979.7,0.8738,14.549,4897.1,3660.4,68623.4,31,"San Carlos","CA",37.499175,-122.26655
"210","90019",55973.6,23.4848,16.4056,3210.3,4553.1,82715.9,57,"Los Angeles","CA",34.048411,-118.34015
"211","95823",55864.4,22.1808,27.7355,2829.3,4739,87621.4,94,"Sacramento","CA",38.477508,-121.44561
"212","92807",55855.1,2.131,18.4696,4447.3,3915,72442.1,45,"Anaheim","CA",33.850515,-117.79113
"213","94523",55751.5,2.1711,15.9211,4257.8,4085.9,73801.6,51,"Pleasant Hill","CA",37.951672,-122.07317
"214","92376",55607.2,15.4698,2.791,3016.4,4964.7,85498.7,59,"Rialto","CA",34.109511,-117.37617
"215","93446",55515,1.6431,2.4339,3795.2,4636.6,78957.9,83,"Paso Robles","CA",35.640589,-120.70418
